letter,count_all,count_uppercase,percentage
a,9,2,2.85
b,10,0,3.16
c,15,6,4.75
d,16,1,5.06
e,35,1,11.08
f,5,0,1.58
g,3,1,0.95
h,10,0,3.16
i,29,0,9.18
j,1,1,0.32
k,4,4,1.27
l,16,0,5.06
m,5,0,1.58
n,24,4,7.59
o,21,0,6.65
p,11,8,3.48
q,1,0,0.32
r,7,0,2.22
s,26,1,8.23
t,27,2,8.54
u,13,0,4.11
v,5,1,1.58
w,8,0,2.53
x,3,0,0.95
y,12,1,3.8
